Sample_name,Lithology,Type,Pressure,Temperature,Vp,Vs,rho,Reference
BC-12,granodiorite,I,40,25,5.235,3.102,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,100,25,5.962,3.458,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,400,25,6.331,3.627,2.678,Morosov_et_al_2003
BC-12,granodiorite,I,1000,25,6.505,3.68,2.678,Morosov_et_al_2003
,,,,,,,,
BC-6,diorite,I,40,25,4.258,2.633,2.785,Morosov_et_al_2003
BC-6,diorite,I,100,25,5.493,3.254,2.785,Morosov_et_al_2003
BC-6,diorite,I,400,25,6.421,3.695,2.785,Morosov_et_al_2003
BC-6,diorite,I,1000,25,6.655,3.79,2.785,Morosov_et_al_2003
,,,,,,,,
BC-13,diorite,I,40,25,4.759,2.859,2.792,Morosov_et_al_2003
BC-13,diorite,I,100,25,5.775,3.365,2.792,Morosov_et_al_2003
BC-13,diorite,I,400,25,6.52,3.655,2.792,Morosov_et_al_2003
BC-13,diorite,I,1000,25,6.734,3.735,2.792,Morosov_et_al_2003
,,,,,,,,
BC-7,diorite,I,40,25,4.691,2.907,2.804,Morosov_et_al_2003
BC-7,diorite,I,100,25,5.822,3.393,2.804,Morosov_et_al_2003
BC-7,diorite,I,400,25,6.56,3.665,2.804,Morosov_et_al_2003
BC-7,diorite,I,1000,25,6.73,3.717,2.804,Morosov_et_al_2003
,,,,,,,,
BC-5,gneiss,M,40,25,4.545,2.7,2.787,Morosov_et_al_2003
BC-5,gneiss,M,100,25,5.54,3.157,2.787,Morosov_et_al_2003
BC-5,gneiss,M,400,25,6.231,3.469,2.787,Morosov_et_al_2003
BC-5,gneiss,M,1000,25,6.461,3.568,2.787,Morosov_et_al_2003
,,,,,,,,
BC-4,gneiss,M,40,25,4.734,2.864,2.797,Morosov_et_al_2003
BC-4,gneiss,M,100,25,5.517,3.214,2.797,Morosov_et_al_2003
BC-4,gneiss,M,400,25,6.204,3.499,2.797,Morosov_et_al_2003
BC-4,gneiss,M,1000,25,6.473,3.605,2.797,Morosov_et_al_2003
,,,,,,,,
BC-10,gneiss,M,40,25,4.589,2.722,2.789,Morosov_et_al_2003
BC-10,gneiss,M,100,25,5.517,3.222,2.789,Morosov_et_al_2003
BC-10,gneiss,M,400,25,6.204,3.639,2.789,Morosov_et_al_2003
BC-10,gneiss,M,1000,25,6.473,3.745,2.789,Morosov_et_al_2003
,,,,,,,,
BC-3,restite,I,40,25,5.609,3.354,2.74,Morosov_et_al_2003
BC-3,restite,I,100,25,5.894,3.265,2.74,Morosov_et_al_2003
BC-3,restite,I,400,25,6.242,3.653,2.74,Morosov_et_al_2003
BC-3,restite,I,1000,25,6.409,3.713,2.74,Morosov_et_al_2003
,,,,,,,,
BC-14,restite,I,40,25,5.464,3.211,2.984,Morosov_et_al_2003
BC-14,restite,I,100,25,6.327,3.642,2.984,Morosov_et_al_2003
